saol,life,
faoi ​​mar,even,
ar ceal,off,
le do thoil,please,
Cuir iR,doing,
buíochas,thank,
bronn,give,
an t -aon,only,
smaointeoireacht,thought,
cabhrú,help,
dhá cheann,two,
labhair faoi,talk,
a dhaoine uaisle,people,
déar,god,
suaimhneach,still,
fan,wait,
isteach i,into,
aimsigh,find,
aon ní,nothing,
agus arís,again,
rudaí,things,
A ligean ar,let's,
ní,doesn't,
glaoch,call,
inis,told,
mór-,great,
roimh,before,
níos mó,better,
ná riamh,ever,
oíche,night,
ná,than,
ó,away,
chun tosaigh,first,
creid,believe,
eile,other,
airigh,feel,
gach rud,everything,
áit oibre,work,
tú,you've,
fíneáil,fine,
áit,home,
tar éis,after,
is deireanaí,last,
seo,these,
tréimhse,day,
fan,keep,
an ndéanann,does,
chuir,put,
maidir le,around,
stop de,stop,
Tá siad,they're,
Mise,I'd,
fear,guy,
ar fad,long,
ní,isn't,
an t -am ar fad,always,
éist,listen,
a bheidh ag iarraidh,wanted,
An tUasal.,Mr.,
guys,guys,
huh,huh,
iad siúd,those,
mór,big,
baisc,lot,
mar,happened,
go raibh maith agat,thanks,
go dtí ní,won't,
triail,trying,
cineál,kind,
mícheart,wrong,
ar fáil,through,
labhair,talking,
ric,made,
úrnua,new,
an,being,
mo thoil,guess,
Haigh,hi,
bá,care,
millteanach,bad,
Mam,mom,
cuimhne a choinneáil ar,remember,
faigh,getting,
A thú féin,we'll,
in éineacht,together,
dada,dad,
ná bac le,leave,
Máthair,mother,
áit,place,
tuig do,understand,
nach mbeadh,wouldn't,
mar a tharlaíonn sé,actually,
chloisteáil,hear,
babaí,baby,
maith,nice,
bunaigh,father,
eile,else,
bac a chur ar,stay,
ar siúl,done,
Ní,wasn't,
a,their,
cúrsáil,course,
láidreacht,might,
intinn,mind,
gach uile,every,
Go Leor,enough,
cuir faoi thriail,try,
illa fhiosrú,hell,
tháinig,came,
duine éigin,someone,
Tá tú,you'll,
féin,own,
teaghlach,family,
ina iomláine,whole,
nua,another,
teach nó teach,house or House,
Jack nó Jack,Jack or jack,
tú féin,yourself,
tuairim,idea,
iarr,ask,
ar dóigh,best,
caithfidh,must,
ag teacht,coming,
Sean,old,
amharc,looking,
a chailín,woman,
Dia dhuit,hello,
cad é,which,
cian go raibh,years,
spás,room,
airgead,money,
ciotóg,left,
Bhí a fhios,knew,
an oíche anocht,tonight,
fíor,real,
a mhac,son,
ábhar dóchais,hope,
ainmnigh,name,
mar an gcéanna,same,
Déad Dul,went,
.,um,
hmm,hmm,
faoi ​​shéan is faoi mhaise,happy,
deas,pretty,
sáigh,saw,
a ghirsí,girl,
a dhuine uasail,sir,
taispeáin,show,
duine aitheantais,friend,
cheana féin,already,
nath,saying,
Bealtaine nó Bealtaine,may or May,
ar aghaidh,next,
trí cinn,three,
post,job,
deacracht,problem,
pointe,minute,
cur bealaigh,found,
saol,world,
gur,thinking,
ní,haven't,
éist,heard,
ainnir,honey,
angadh,matter,
mé féin,myself,
níorbh fhéidir,couldn't,
díreach,exactly,
a bheith aige le,having,
Aithneach,ah,
is dócha,probably,
tar ar,happen,
Tá muid,we've,
gortach,hurt,
Giolla,boy,
araon,both,
a fhad agus a,while,
marbh,dead,
caithfidh,gotta,
ar aon dul,alone,
ó shin i leith,since,
leithscéal,excuse,
cuir ar siúl,start,
ceansaigh,kill,
crua,hard,
DO DO DO FHORPT,you'd,
inniu,today,
cairt,car,
ullmhaigh,ready,
go dtí,until,
lasmuigh,without,
cibé rud,whatever,
gá,wants,
greim a bheith agat ar,hold,
in dhéanamh,wanna,
ach fós féin,yet,
feic,seen,
cuir amach,deal,
tuairt,took,
aon bhabhta amháin,once,
imí,gone,
calig,called,
breacadh an lae,morning,
ceap,supposed,
foireann,friends,
ceann,head,
rudaí,stuff,
an méid is mó,most,
úsáid,used,
imní,worry,
an dara háit,second,
páirt,part,
cuir díot,live,
fírinne,truth,
múin,school,
dánacht,face,
dearmad a dhéanamh ar,forget,
Go díreach,TRUE,
gnóthas,business,
gach aon,each,
údar,cause,
go luath,soon,
aithne a bheith agat ar,knows,
is beag,few,
inste,telling,
bean,wife,
Cé atá,who's,
úsáid a bhaint as,use,
triail a bhaint as,chance,
cuir ar siúl,run,
téigh ar aghaidh,move,
aon duine,anyone,
duine,person,
slán,bye,
J.,J.,
duine,somebody,
Dr nó Dr.,Dr. or dr.,
uchtach,heart,
mar sin,such,
airigh uait,miss,
pósta,married,
pointe a fháil,point,
ina dhiaidh sin,later,
déanamh,making,
buail le,meet,
ar aon nós,anyway,
a lán,many,
glao gutháin a chur ar,phone,
réasúnaigh,reason,
diabhal,damn,
millte,lost,
breathnaigh,looks,
tabhair leat,bring,
cás,case,
iompaigh thart,turn,
guí,wish,
san am atá le teacht,tomorrow,
páistí,kids,
iontaobhas,trust,
seic,check,
athraigh,change,
deireadh,end,
thar am,late,
níos mó,anymore,
a cúig,five,
is lú,least,
baile mór,town,
ní,aren't,
hata,ha,
ag obair,working,
bliain,year,
Déanann,makes,
glacadh,taking,
acmhainn,means,
comrádaí,brother,
bheith ag súgradh,play,
gríos,hate,
ó shin,ago,
aráid,says,
álainn,beautiful,
a thug,gave,
fírinne,fact,
mire,crazy,
duine,party,
bheith i do shuí,sit,
ar oscailt,open,
eagla,afraid,
idir,between,
mór le rá,important,
scíth a thabhairt do,rest,
craic,fun,
kidnid,kid,
scéal,word,
féach,watch,
sásta,glad,
gach duine,everyone,
lá ar,days,
siúr,sister,
nóiméad,minutes,
gach duine,everybody,
bior,bit,
roinnt,couple,
whoa,whoa,
ach oiread,either,
Bean Uí.,Mrs.,
tuisceanach,feeling,
iníon,daughter,
WOW,wow,
Faigheann,gets,
tabhair,asked,
faoi ​​stiúir,under,
briseadh,break,
geallann,promise,
doras,door,
cuir,set,
críoch,close,
cuir chuig,hand,
go réidh,easy,
amhras,question,
rud a chur i,doctor,
bain triail as,tried,
i bhfad,far,
siúil,walk,
riachtanas,needs,
bheith ag déanamh imní do,trouble,
mo theachsa,mine,
cé go,though,
amanna,times,
ar leith,different,
maraithe,killed,
ospidéal,hospital,
aon duine,anybody,
Sam nó Sam,Sam or SAM,
ceart go leor,alright,
bainis,wedding,
stad,shut,
cumasach,able,
bás a fháil,die,
maith,perfect,
Póilíní,police,
láthair,stand,
tagann,comes,
Buail,hit,
scéal,story,
ya,ya,
mm,mm,
mar shampla,waiting,
dinnéar,dinner,
i leith,against,
aisteach,funny,
fear céile,husband,
nach mór,almost,
malairt,stupid,
pá,pay,
freagra,answer,
a ceathair,four,
oifig,office,
fual,cool,
súile,eyes,
scéal,news,
leanbh,child,
níor chóir,shouldn't,
leath-,half,
cliathánach,side,
is mise le meas,yours,
nóiméad,moment,
ramallae,sleep,
léamh,read,
Cá bhfuil,where's,
tosach,started,
óg,young,
fir,men,
fuaimeanna,sounds,
Sonny nó Sonny,sonny or Sonny,
ant mhór,lucky,
pioc,pick,
uaireanta,sometimes,
inc in coc inc.,em,
greim,bed,
leis,also,
dáta,date,
scuaine,line,
rún,plan,
uair,hours,
cuir amú,lose,
adhain,fire,
saor,free,
slúda,hands,
trom,serious,
Leo,Leo,
Amaidí,shit,
ar gcúl,behind,
taobh istigh,inside,
ard,high,
an duine chun tosaigh,ahead,
seachtain,week,
aoibhinn,wonderful,
T.,T.,
troid,fight,
caite,past,
náirithe,cut,
go leor,quite,
uimhir a chur ar,number,
beidh sé,he'll,
aireach,sick,
De chuid,S.,
beidh sé,it'll,
cluiche,game,
slog,eat,
aon duine,nobody,
tabhair,goes,
bás,death,
chun tosaigh,along,
spáráil,save,
is cosúil,seems,
mar fhocal scoir,finally,
saol,lives,
imní,worried,
trína chéile,upset,
Theresa,Theresa,
Carly,Carly,
An Ethan,Ethan,
bhúail,met,
leabhróg,book,
bréagach,brought,
an chuma a bheith ort,seem,
sórtáil,sort,
slán,safe,
i do chónaí,living,
facht,children,
Ní raibh,weren't,
fág,leaving,
cuir i láthair,front,
log,shot,
grá,loved,
fiaftar a thabhairt le,asking,
dearcadh,running,
glan amach,clear,
déan amach,figure,
goteach,hot,
meas,felt,
a sé,six,
tuismitheoirí,parents,
slog,drink,
ar chor ar bith,absolutely,
Conas atá,how's,
daidí,daddy,
milis,sweet,
beo,alive,
Míochais,Paul,
brí,sense,
meal,meant,
tarlaíonn sé,happens,
Dalladh,David,
sain-,special,
cuir ar do,bet,
duine a thriail,blood,
Níl,ain't,
rírá,kidding,
bheith suite,lie,
lán,full,
cruinniú,meeting,
a haondaithe,dear,
caife,coffee,
raic ar,seeing,
fuaimnigh,sound,
locht,fault,
uisce a thabhairt do,water,
focáil,fuck,
deichniúr,ten,
mná,women,
John nó John,John or john,
fáilte a chur roimh,welcome,
ceannaigh,buy,
míonna,months,
uair,hour,
labhair,speak,
fírinne,lady,
An jí,Jen,
Smaoinigh,thinks,
An Nollaig,Christmas,
tathag,body,
éide,order,
lasmuigh,outside,
méaradh,hang,
féidir,possible,
níos measa,worse,
cuideachta,company,
botún,mistake,
Ooh,ooh,
bheith ag plé le,handle,
caiteachas,spend,
C.,C.,
ar fad ar fad,totally,
ag tabhairt,giving,
smacht,control,
Seo é,here's,
pósadh,marriage,
réadaigh,realize,
D.,D.,
cumhacht,power,
uachtarán,president,
ach amháin má,unless,
collaíocht,sex,
cailíní,girls,
cuir,send,
is gá,needed,
O. nó o,O. or o,
tabhair isteach,taken,
daoine,died,
scanáilte,scared,
pictiúr,picture,
labhair le,talked,
Jake,Jake,
Bal de,Al,
amadán,ass,
céad ceann,hundred,
athraigh,changed,
go huile is go hiomlán,completely,
míniú a thabhairt ar,explain,
imchomórtas,playing,
cinnte,certainly,
comhartha,sign,
buachaill,boys,
gaol,relationship,
Bliain,Michael,
gráraigh,loves,
púchadh,fucking,
ghrua,hair,
i luí,lying,
rogha,choice,
Áit ar bith,anywhere,
i mbaol,secret,
amach anseo,future,
aisteach,weird,
seans,luck,
beidh sí,she'll,
Max nó max.,Max or max.,
LUIS,Luis,
iompaigh,turned,
darbh ainm,known,
teagmháil,touch,
póg a thabhairt do,kiss,
Craein nó craein,Crane or crane,
ceist,questions,
gan amhras,obviously,
suaithinseach,wonder,
goill ar,pain,
glaoch,calling,
Áit éigin,somewhere,
caith,throw,
díreach,straight,
Grace nó Grace,Grace or grace,
fuar,cold,
bán nó bán,white or White,
go amaid,fast,
Natalie,Natalie,
borcht,words,
R.,R.,
lón,food,
gan aon,none,
ruaigeadh,drive,
meon,feelings,
beidh siad,they'll,
d'oibrigh,worked,
pós,marry,
duine mór le rá,light,
scrúdú,test,
léim,drop,
callaí,cannot,
Francach,Frank,
seol,sent,
cathair,city,
taibhreamh a bheith agat,dream,
cosaint a thabhairt do,protect,
fiche bliain d'aois,twenty,
aicmigh,class,
Lusy,Lucy,
iontas a chur ar,surprise,
a,its,
muintir,sweetheart,
go brách,forever,
droch-,poor,
breathnaigh ar,looked,
go MAIN,mad,
seachas,except,
gunnaí,gun,
y'know,y'know,
damhsa,dance,
Tógann,takes,
meas a bheith agat ar,appreciate,
go mór mór,especially,
áit,situation,
chomh maith le,besides,
seachtaine,weeks,
slog,pull,
é féin,himself,
nach bhfuil,hasn't,
bheith,act,
fiúntas,worth,
Seiridánach,Sheridan,
ar fheabhas,amazing,
den scoth,top,
gach duine,given,
súil a bheith agat le,expect,
Binn,Ben,
tá agus é,rather,
(De chuid) na nGathairn,Julian,
páirt i gceist,involved,
mionn,swear,
píosa,piece,
gnóthach,busy,
Dlí,law,
cinneadh a dhéanamh,decided,
Dubh nó Dubh,black or Black,
Joey,Joey,
imeacht,happening,
scannán,movie,
dúinn,we'd,
greim a fháil ar,catch,
Antonio,Antonio,
ceantar,country,
is lú,less,
déarfainn,perhaps,
runga,step,
laghdú,fall,
"faire ar é ar ""fhreastal ar""",watching,
Tá,kept,
a haid,darling,
allait,dog,
Ms.,Ms.,
bua,win,
aer a ligean isteach i,air,
onóir a bhronnadh ar,honor,
an duine féin,personal,
ag gluaiseacht,moving,
i ndoe,till,
glac isteach,admit,
fanacht,problems,
dúnmharú,murder,
láidir,strong,
ba mhaith leis,he'd,
olc,evil,
cinnte,definitely,
braot,feels,
faisnéis,information,
taithí,honest,
amharc,eye,
bhris,broke,
caill,missed,
níos faide,longer,
dollair,dollars,
tuirseach,tired,
Jason,Jason,
Geoster,George,
tráthnóna,evening,
duine,human,
tosú,starting,
Rinn Deasa,Ross,
lasta,red,
uile,entire,
téigh ar turas,trip,
Brooic,Brooke,
E.,E.,
club,club,
Nílsí,Niles,
glac le,suppose,
socair,calm,
samhlaigh,imagine,
Todd,Todd,
cothrom,fair,
gaire,caught,
B.,B.,
milleán,blame,
sráid,street,
suí,sitting,
taoisigh,favor,
árasán,apartment,
bheith ag cúirtéireacht le,court,
uafásach,terrible,
glan,clean,
Tony nó Tony,Tony or tony,
múin,learn,
Alison,Alison,
Ric,Rick,
saoirsigh,works,
Ardaigh nó ardaigh,Rose or rose,
Frasier,Frasier,
do scíth a ligean,relax,
An Eachoin,York,
milliún ceann,million,
carthanas,charity,
timpiste,accident,
dúisigh,wake,
ardaigh,prove,
Danny,Danny,
cliste,smart,
teachtaireacht,message,
atá in easnamh,missing,
dearmad a dhéanamh ar,forgot,
beag,small,
leasmhar,interested,
cuir ar an méar fhada,table,
NBSP,nbsp,
oir do,become,
Craig,Craig,
béal,mouth,
ag iompar clainne,pregnant,
coim,middle,
Billy nó Billy,Billy or billy,
fáinne,ring,
cúramach,careful,
a bheidh ar,shall,
gas,dude,
foireann,team,
marcaíocht,ride,
fíneáil,figured,
caith,wear,
lámhaigh,shoot,
bata,stick,
Ray nó Ray,Ray or ray,
lean le,follow,
Bo,Bo,
feargach,angry,
in áit,instead,
cara,buddy,
cum,write,
stop,stopped,
luath,early,
Aingeal nó aingeal,Angel or angel,
Nick nó Nick,Nick or nick,
rith,ran,
coimhlint,war,
seasamh,standing,
maithiúnas a thabhairt do,forgive,
príosún,jail,
bheith ag caitheamh,wearing,
Miguel,Miguel,
mban,ladies,
kidda,kinda,
-Lón,lunch,
Cristiach,Cristian,
ochtar,eight,
Glaslee,Greenlee,
fuair,gotten,
súil,hoping,
Phoebe,Phoebe,
míle ceann,thousand,
drioge,ridge,
Ceol,music,
(De chuid) na Lúcála,Luke,
páipéar balla a chrochadh,paper,
dian,tough,
ribín,tape,
Emilé,Emily,
staid,state,
cuir,count,
Coláiste,college,
buachaill,boyfriend,
mórálach,proud,
bheith ag teacht le chéile,agree,
Breithlá,birthday,
bille,bill,
seacht gcinn,seven,
Tá siad,they've,
Tilt,Timmy,
scéal,history,
cuir i láthair,share,
cuir ar fáil,offer,
bheith tar.,hurry,
ugh oá,ow,
fail,feet,
smaoinigh ar,wondering,
éasca,simple,
cinneadh,decision,
tógáil,building,
ceann,ones,
bailchríoch,finish,
guthaigh,voice,
ise féin,herself,
(De chuid),Chris,
bheadh,would've,
dírigh,list,
Cacsa,Kay,
bheith ag amaidí,mess,
tuillte,deserve,
lorg,evidence,
gleas,cute,
Seirbhe,Jerry,
gúna,dress,
Richard,Richard,
suimiúil,interesting,
Íosa Críost!,Jesus,
Seanchaint,James,
Óstán,hotel,
taitneamh a bhaint as,enjoy,
Ruir Rian,Ryan,
Lindssay,Lindsay,
ciúin,quiet,
bain le,concerned,
bealach,road,
Oíche nó Oíche,Eve or eve,
ag fanacht,staying,
gearr,short,
M.,M.,
buail,beat,
milseán,sweetie,
trácht,mention,
éadaí,clothes,
críochnaithe,finished,
thit,fell,
ní,neither,
mmm,mmm,
cuir suas le,fix,
Victor nó Victor,Victor or victor,
ómós a bheith agat do,respect,
caite,spent,
príosúnacht,prison,
aire,attention,
sealúchas,holding,
glaoigh ar,calls,
gar do,near,
ionadh,surprised,
bac a chur ar,bar,
Beth,Beth,
Téigh thart,pass,
coinnigh,keeping,
bronntanas,gift,
Ní raibh,hadn't,
cur,putting,
dorcha,dark,
féin,self,
dlite,owe,
sé,using,
Nora,Nora,
tearc,ice,
fosta,helping,
bitch,bitch,
gnáth-,normal,
príosúnacht,aunt,
dlíodóir,lawyer,
óna chéile,apart,
áirithe,certain,
pleanáil,plans,
Jab,Jax,
cailín,girlfriend,
urlár a chur síos i,floor,
an,whether,
Gach rud,everything's,
cuir i láthair,present,
an domhan,earth,
príobháideach,private,
Jí,Jessica,
dornáil,box,
Dawson,Dawson,
clúdach,cover,
Breitheamh,judge,
thuas staighre,upstairs,
Alexis,Alexis,
Shawn,Shawn,
Ar mhoill,sake,
máthair mháthair,mommy,
b'fhéidir,possibly,
is measa,worst,
